date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2011-01-29,11101,Saturday,1,1,2011,d_1,,,,,0,0,0
2011-01-30,11101,Sunday,2,1,2011,d_2,,,,,0,0,0
2011-01-31,11101,Monday,3,1,2011,d_3,,,,,0,0,0
2011-02-01,11101,Tuesday,4,2,2011,d_4,,,,,1,1,0
2011-02-02,11101,Wednesday,5,2,2011,d_5,,,,,1,1,0
2011-02-03,11101,Thursday,6,2,2011,d_6,,,,,1,1,0
2011-02-04,11101,Friday,7,2,2011,d_7,,,,,1,1,0
2011-02-05,11102,Saturday,1,2,2011,d_8,,,,,1,1,1
2011-02-06,11102,Sunday,2,2,2011,d_9,,,,,1,1,1
2011-02-07,11102,Monday,3,2,2011,d_10,,,,,1,1,1
2011-02-08,11102,Tuesday,4,2,2011,d_11,,,,,1,1,1
2011-02-09,11102,Wednesday,5,2,2011,d_12,,,,,1,1,1
2011-02-10,11102,Thursday,6,2,2011,d_13,,,,,1,1,1
2011-02-11,11102,Friday,7,2,2011,d_14,,,,,0,1,1
2011-02-12,11103,Saturday,1,2,2011,d_15,,,,,0,1,1
2011-02-13,11103,Sunday,2,2,2011,d_16,FixtureFest,Cultural,,,0,1,1
2011-02-14,11103,Monday,3,2,2011,d_17,,,,,0,1,1
2011-02-15,11103,Tuesday,4,2,2011,d_18,,,,,0,1,0
2011-02-16,11103,Wednesday,5,2,2011,d_19,,,,,0,0,0
2011-02-17,11103,Thursday,6,2,2011,d_20,,,,,0,0,0
2011-02-18,11103,Friday,7,2,2011,d_21,,,,,0,0,0
2011-02-19,11104,Saturday,1,2,2011,d_22,,,,,0,0,0
2011-02-20,11104,Sunday,2,2,2011,d_23,,,,,0,0,0
2011-02-21,11104,Monday,3,2,2011,d_24,,,,,0,0,0
2011-02-22,11104,Tuesday,4,2,2011,d_25,,,,,0,0,0
2011-02-23,11104,Wednesday,5,2,2011,d_26,,,,,0,0,0
2011-02-24,11104,Thursday,6,2,2011,d_27,FixtureDay,National,,,0,0,0
2011-02-25,11104,Friday,7,2,2011,d_28,,,,,0,0,0
2011-02-26,11105,Saturday,1,2,2011,d_29,,,,,0,0,0
2011-02-27,11105,Sunday,2,2,2011,d_30,,,,,0,0,0
2011-02-28,11105,Monday,3,2,2011,d_31,,,,,0,0,0
2011-03-01,11105,Tuesday,4,3,2011,d_32,,,,,1,1,0
2011-03-02,11105,Wednesday,5,3,2011,d_33,,,,,1,1,0
2011-03-03,11105,Thursday,6,3,2011,d_34,,,,,1,1,0
2011-03-04,11105,Friday,7,3,2011,d_35,,,,,1,1,0
2011-03-05,11106,Saturday,1,3,2011,d_36,,,,,1,1,1
2011-03-06,11106,Sunday,2,3,2011,d_37,,,,,1,1,1
2011-03-07,11106,Monday,3,3,2011,d_38,,,,,1,1,1
2011-03-08,11106,Tuesday,4,3,2011,d_39,,,,,1,1,1
2011-03-09,11106,Wednesday,5,3,2011,d_40,,,,,1,1,1
2011-03-10,11106,Thursday,6,3,2011,d_41,,,,,1,1,1
2011-03-11,11106,Friday,7,3,2011,d_42,FixtureDay,National,,,0,1,1
2011-03-12,11107,Saturday,1,3,2011,d_43,,,,,0,1,1
2011-03-13,11107,Sunday,2,3,2011,d_44,,,,,0,1,1
2011-03-14,11107,Monday,3,3,2011,d_45,,,,,0,1,1
2011-03-15,11107,Tuesday,4,3,2011,d_46,,,,,0,1,0
2011-03-16,11107,Wednesday,5,3,2011,d_47,,,,,0,0,0
2011-03-17,11107,Thursday,6,3,2011,d_48,,,,,0,0,0
2011-03-18,11107,Friday,7,3,2011,d_49,,,,,0,0,0
2011-03-19,11108,Saturday,1,3,2011,d_50,FixtureFest,Cultural,,,0,0,0
2011-03-20,11108,Sunday,2,3,2011,d_51,,,,,0,0,0
2011-03-21,11108,Monday,3,3,2011,d_52,,,,,0,0,0
2011-03-22,11108,Tuesday,4,3,2011,d_53,,,,,0,0,0
2011-03-23,11108,Wednesday,5,3,2011,d_54,,,,,0,0,0
2011-03-24,11108,Thursday,6,3,2011,d_55,,,,,0,0,0
2011-03-25,11108,Friday,7,3,2011,d_56,,,,,0,0,0
2011-03-26,11109,Saturday,1,3,2011,d_57,,,,,0,0,0
2011-03-27,11109,Sunday,2,3,2011,d_58,,,,,0,0,0
2011-03-28,11109,Monday,3,3,2011,d_59,,,,,0,0,0
2011-03-29,11109,Tuesday,4,3,2011,d_60,,,,,0,0,0
2011-03-30,11109,Wednesday,5,3,2011,d_61,,,,,0,0,0
2011-03-31,11109,Thursday,6,3,2011,d_62,,,,,0,0,0
2011-04-01,11109,Friday,7,4,2011,d_63,,,,,1,1,0
2011-04-02,11110,Saturday,1,4,2011,d_64,,,,,1,1,0
2011-04-03,11110,Sunday,2,4,2011,d_65,,,,,1,1,0
2011-04-04,11110,Monday,3,4,2011,d_66,FixtureDay,National,,,1,1,0
2011-04-05,11110,Tuesday,4,4,2011,d_67,,,,,1,1,1
